company,price,rating,processor,ram,battery,screen_size,width,height,frequency,rom
Vivo,106990,78.25824800910125,Snapdragon,12.0,66.0,8.0,1916.0,2160.0,120.0,256.0
Vivo,15990,78.0,Snapdragon,4.0,18.0,6.0,1080.0,2408.0,120.0,128.0
Apple,119990,75.0,Bionic,6.0,46.329588014981276,6.0,1179.0,2556.0,120.0,128.0
Xiaomi,19999,83.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,120.0,128.0
Motorola,23990,83.0,Snapdragon,8.0,68.0,6.0,1080.0,2460.0,144.0,128.0
Realme,12999,80.0,Dimensity,8.0,33.0,6.0,1080.0,2408.0,90.0,128.0
OPPO,19990,82.0,Dimensity,8.0,50.0,6.0,1080.0,2400.0,111.63829787234043,128.0
Xiaomi,58990,78.25824800910125,Snapdragon,8.0,120.0,6.0,1440.0,3200.0,120.0,128.0
Vivo,43999,87.0,Dimensity,12.0,120.0,6.0,1080.0,2400.0,144.0,256.0
Samsung,49999,86.0,Snapdragon,8.0,25.0,6.0,1080.0,2340.0,120.0,128.0
Vivo,15999,79.0,Snapdragon,6.0,44.0,6.0,1080.0,2408.0,111.63829787234043,128.0
OnePlus,36999,87.0,Dimensity,12.0,80.0,6.0,1080.0,2412.0,120.0,256.0
Tecno,39999,85.0,Dimensity,8.0,45.0,6.0,1080.0,2400.0,120.0,256.0
Apple,51999,74.0,Bionic,4.0,1.0,5.921406411582213,1060.9148936170213,2179.227963525836,111.63829787234043,64.0
Xiaomi,22999,82.0,Dimensity,6.0,67.0,6.0,1080.0,2460.0,144.0,128.0
Samsung,31999,87.0,Exynos,6.0,25.0,6.0,1080.0,2400.0,120.0,128.0
Xiaomi,6171,78.25824800910125,Helio,2.0,10.0,6.0,720.0,1600.0,111.63829787234043,32.0
OPPO,29340,83.0,Dimensity,8.0,80.0,6.0,1080.0,2400.0,90.0,128.0
Samsung,25289,87.0,Dimensity,8.0,25.0,6.0,1080.0,2400.0,120.0,128.0
iQOO,21788,78.0,Snapdragon,6.0,66.0,6.0,1080.0,2404.0,90.0,128.0
Tesla,69999,83.0,Octa,16.0,120.0,6.0,1080.0,2448.0,165.0,512.0
Samsung,70990,88.0,Snapdragon,8.0,25.0,6.0,1080.0,2340.0,120.0,128.0
Motorola,34999,89.0,Snapdragon,8.0,68.0,6.0,1080.0,2400.0,144.0,128.0
OnePlus,33900,85.0,Dimensity,12.0,80.0,6.0,1080.0,2400.0,90.0,256.0
Google,29999,71.0,Google,6.0,46.329588014981276,6.0,1080.0,2400.0,111.63829787234043,128.0
Infinix,18999,84.0,Dimensity,8.0,33.0,6.0,1080.0,2400.0,111.63829787234043,128.0
Samsung,19499,84.0,Exynos,8.0,25.0,6.0,1080.0,2400.0,120.0,128.0
Vivo,24994,83.0,Dimensity,8.0,44.0,6.0,1080.0,2400.0,90.0,128.0
Motorola,10999,78.0,Snapdragon,4.0,20.0,6.0,1080.0,2400.0,111.63829787234043,64.0
OnePlus,24999,85.0,Snapdragon,8.0,33.0,6.0,1080.0,2412.0,120.0,256.0
Samsung,25999,82.0,Exynos,6.0,25.0,6.0,1080.0,2400.0,90.0,128.0
Google,34990,69.0,Google,6.0,46.329588014981276,6.0,1080.0,2400.0,90.0,128.0
Xiaomi,13466,74.0,Dimensity,4.0,18.0,6.0,1080.0,2408.0,90.0,64.0
Xiaomi,9999,76.0,Snapdragon,4.0,18.0,6.0,1080.0,2400.0,111.63829787234043,64.0
Motorola,7999,71.0,Tiger,4.0,46.329588014981276,6.0,720.0,1600.0,90.0,64.0
Nothing,28249,86.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,120.0,256.0
Poco,16499,82.0,Snapdragon,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
Xiaomi,22999,87.0,Snapdragon,8.0,67.0,6.0,1080.0,2400.0,120.0,256.0
Apple,46999,75.0,A13,4.0,46.329588014981276,6.0,828.0,1792.0,111.63829787234043,128.0
Realme,13999,74.0,Tiger,6.0,18.0,6.0,1080.0,2408.0,90.0,128.0
OPPO,13490,78.0,Snapdragon,6.0,33.0,6.0,1080.0,2412.0,90.0,128.0
iQOO,28999,82.0,Snapdragon,8.0,80.0,6.0,1080.0,2400.0,120.0,128.0
iQOO,15499,78.0,Snapdragon,4.0,18.0,6.0,1080.0,2408.0,120.0,128.0
OPPO,39999,86.0,Dimensity,16.0,67.0,6.0,1080.0,2412.0,120.0,256.0
Poco,12999,76.0,Dimensity,4.0,33.0,6.0,1080.0,2400.0,90.0,64.0
Jio,4499,78.25824800910125,Quad,2.0,46.329588014981276,5.921406411582213,720.0,1280.0,111.63829787234043,64.0
OnePlus,14999,69.0,Snapdragon,4.0,18.0,6.0,720.0,1560.0,111.63829787234043,64.0
Samsung,8499,68.0,Helio,4.0,15.0,6.0,720.0,1600.0,111.63829787234043,64.0
iQOO,24990,83.0,Snapdragon,8.0,66.0,6.0,1080.0,2400.0,120.0,128.0
Samsung,16999,84.0,Exynos,6.0,25.0,6.0,1080.0,2400.0,120.0,128.0
Xiaomi,9589,71.0,Snapdragon,4.0,18.0,6.0,720.0,1600.0,111.63829787234043,64.0
Apple,40999,74.0,Bionic,4.0,4.0,5.921406411582213,1060.9148936170213,2179.227963525836,111.63829787234043,64.0
Xiaomi,19988,79.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,120.0,128.0
Motorola,11999,75.0,Snapdragon,4.0,33.0,6.0,2460.0,1080.0,90.0,64.0
Apple,142990,79.0,Bionic,8.0,25.0,6.0,1284.0,2778.0,120.0,256.0
Oppo,30990,87.0,Snapdragon,8.0,67.0,6.0,1080.0,2412.0,120.0,128.0
Infinix,19499,85.0,Dimensity,8.0,33.0,6.0,1080.0,2460.0,120.0,256.0
Nokia,4990,78.25824800910125,Snapdragon,4.0,46.329588014981276,2.0,240.0,320.0,111.63829787234043,512.0
Realme,5299,78.25824800910125,Tiger,2.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,32.0
OPPO,25969,82.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,111.63829787234043,128.0
Realme,28999,82.0,Snapdragon,6.0,65.0,6.0,1080.0,2400.0,120.0,128.0
Oppo,94990,78.25824800910125,Snapdragon,12.0,67.0,7.0,1792.0,1920.0,120.0,256.0
Realme,14999,81.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,90.0,128.0
Cola,14999,74.0,Helio,4.0,33.0,6.0,1080.0,2400.0,90.0,64.0
Apple,129900,84.0,Bionic,6.0,46.329588014981276,6.0,1284.0,2778.0,120.0,128.0
Oppo,58990,88.0,Snapdragon,12.0,80.0,6.0,1080.0,2412.0,120.0,256.0
Vivo,41990,88.0,Dimensity,8.0,120.0,6.0,1260.0,2800.0,120.0,128.0
Samsung,10999,74.0,Exynos,4.0,15.0,6.0,2408.0,1080.0,111.63829787234043,64.0
Xiaomi,11999,79.0,Helio,6.0,33.0,6.0,1080.0,2400.0,111.63829787234043,128.0
Realme,16999,79.0,Helio,8.0,33.0,6.0,1080.0,2400.0,90.0,128.0
iQOO,30990,83.0,Snapdragon,8.0,66.0,6.0,1080.0,2400.0,120.0,128.0
Infinix,17999,75.0,Dimensity,4.0,18.0,6.0,1080.0,2408.0,120.0,64.0
Letv,5499,78.25824800910125,Tiger,4.0,46.329588014981276,6.0,720.0,1560.0,111.63829787234043,32.0
Xiaomi,20499,83.0,Snapdragon,6.0,67.0,6.0,1080.0,2460.0,120.0,128.0
Realme,20490,81.0,Dimensity,6.0,33.0,6.0,1080.0,2400.0,90.0,128.0
OPPO,15490,77.0,Snapdragon,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
Apple,29990,61.0,A13,3.0,46.329588014981276,4.0,750.0,1334.0,111.63829787234043,64.0
iQOO,15499,79.0,Snapdragon,6.0,18.0,6.0,1080.0,2408.0,120.0,128.0
Xiaomi,11999,80.0,Helio,6.0,33.0,6.0,1080.0,2400.0,111.63829787234043,64.0
Realme,10999,74.0,Helio,4.0,33.0,6.0,1080.0,2412.0,120.0,64.0
Vivo,21990,82.0,Dimensity,8.0,18.0,6.0,1080.0,2408.0,111.63829787234043,128.0
Vivo,31999,85.0,Dimensity,12.0,44.0,6.0,1080.0,2408.0,90.0,256.0
POCO,11999,77.0,Helio,6.0,33.0,6.0,1080.0,2400.0,90.0,64.0
Infinix,36999,89.0,Dimensity,8.0,180.0,6.0,1080.0,2400.0,120.0,256.0
Tecno,6999,62.0,Helio,3.0,10.0,6.0,720.0,1600.0,111.63829787234043,32.0
Motorola,39999,89.0,Snapdragon,8.0,125.0,6.0,1080.0,2400.0,165.0,128.0
Samsung,14999,78.0,Snapdragon,4.0,25.0,6.0,1080.0,2408.0,120.0,128.0
Realme,14499,79.0,Dimensity,8.0,33.0,6.0,1080.0,2408.0,90.0,128.0
OnePlus,27999,84.0,Dimensity,8.0,120.0,6.0,1080.0,2400.0,90.0,128.0
Motorola,20499,86.0,Snapdragon,8.0,30.0,6.0,1080.0,2400.0,120.0,128.0
iKall,8099,60.0,Quad,4.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,64.0
LeEco,10999,65.0,Tiger,8.0,10.0,6.0,720.0,1600.0,111.63829787234043,128.0
Realme,3499,63.0,Helio,3.0,46.329588014981276,6.0,720.0,1560.0,111.63829787234043,32.0
Duoqin,9990,78.25824800910125,Helio,4.0,46.329588014981276,3.0,640.0,960.0,111.63829787234043,64.0
Samsung,34999,85.0,Snapdragon,6.0,25.0,6.0,1080.0,2412.0,90.0,128.0
Nokia,46999,78.25824800910125,Snapdragon,12.0,65.0,6.0,1400.0,3200.0,120.0,256.0
Motorola,39999,88.0,Snapdragon,8.0,68.0,6.0,1080.0,2400.0,144.0,128.0
Realme,11828,70.0,Tiger,4.0,18.0,6.0,1080.0,2408.0,111.63829787234043,64.0
OPPO,45999,86.0,Dimensity,12.0,80.0,6.0,1080.0,2412.0,120.0,256.0
OnePlus,18999,81.0,Snapdragon,6.0,33.0,6.0,1080.0,2412.0,120.0,128.0
Poco,17999,84.0,Snapdragon,8.0,67.0,6.0,1080.0,2400.0,120.0,128.0
Samsung,8499,66.0,Helio,4.0,15.0,6.0,720.0,1600.0,111.63829787234043,64.0
OPPO,17999,76.0,Snapdragon,8.0,33.0,6.0,720.0,1600.0,90.0,128.0
Samsung,14450,75.0,Octa,4.0,25.0,6.0,1080.0,2408.0,111.63829787234043,64.0
Motorola,54999,78.25824800910125,Snapdragon,8.0,125.0,6.0,1080.0,2400.0,144.0,128.0
Xiaomi,71999,78.25824800910125,Snapdragon,12.0,120.0,6.0,1440.0,3200.0,120.0,256.0
Motorola,12999,79.0,Snapdragon,6.0,33.0,6.0,2460.0,1080.0,90.0,128.0
Poco,11499,75.0,Dimensity,4.0,18.0,6.0,1080.0,2400.0,90.0,64.0
Nothing,35999,87.0,Snapdragon,12.0,33.0,6.0,1080.0,2400.0,120.0,256.0
Samsung,34999,76.0,Exynos,6.0,25.0,6.0,1080.0,2400.0,120.0,128.0
Tecno,11999,73.0,Helio,8.0,18.0,6.0,720.0,1600.0,90.0,128.0
Xiaomi,27994,82.0,Dimensity,8.0,67.0,6.0,1080.0,2400.0,120.0,256.0
Apple,139990,77.0,Bionic,6.0,46.329588014981276,6.0,1290.0,2796.0,120.0,256.0
Vivo,39999,86.0,Dimensity,12.0,66.0,6.0,1080.0,2376.0,120.0,256.0
Realme,15499,79.0,Dimensity,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
Realme,18999,80.0,Snapdragon,6.0,33.0,6.0,1080.0,2412.0,120.0,128.0
Lava,10999,73.0,Dimensity,4.0,46.329588014981276,6.0,1600.0,720.0,90.0,128.0
Honor,27999,81.0,Snapdragon,8.0,40.0,6.0,1080.0,2400.0,120.0,256.0
Google,81999,78.25824800910125,Google,12.0,30.0,6.0,1440.0,3120.0,120.0,128.0
Tecno,9999,74.0,Helio,4.0,33.0,6.0,1080.0,2460.0,90.0,64.0
Vivo,31994,85.0,Dimensity,8.0,44.0,6.0,1080.0,2376.0,90.0,128.0
Samsung,9299,65.0,Helio,3.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,32.0
Xiaomi,29990,84.0,Snapdragon,8.0,67.0,6.0,1440.0,3200.0,120.0,128.0
Realme,25900,78.0,Dimensity,6.0,60.0,6.0,1080.0,2400.0,90.0,128.0
Realme,16999,78.0,Dimensity,6.0,18.0,6.0,1080.0,2408.0,90.0,128.0
Motorola,24999,85.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,144.0,128.0
Xiaomi,12188,79.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,90.0,64.0
Vivo,8999,78.25824800910125,"Helio,",3.0,10.0,6.0,720.0,1600.0,111.63829787234043,32.0
POCO,7499,68.0,Helio,4.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,64.0
Realme,17999,79.0,Dimensity,6.0,33.0,6.0,1080.0,2400.0,90.0,128.0
Realme,24999,79.0,Snapdragon,6.0,80.0,6.0,1080.0,2400.0,120.0,128.0
OPPO,45999,86.0,Dimensity,12.0,80.0,6.0,1080.0,2412.0,120.0,256.0
OnePlus,65499,78.25824800910125,Snapdragon,12.0,80.0,6.0,1440.0,3216.0,120.0,256.0
iQOO,58990,89.0,Snapdragon,8.0,200.0,6.0,1440.0,3200.0,144.0,256.0
Vivo,11999,74.0,Snapdragon,4.0,18.0,6.0,1080.0,2408.0,90.0,64.0
Xiaomi,11999,77.0,Snapdragon,8.0,18.0,6.0,720.0,1650.0,111.63829787234043,128.0
OPPO,18990,76.0,Dimensity,6.0,33.0,6.0,720.0,1612.0,90.0,128.0
Vivo,14499,77.0,Snapdragon,4.0,44.0,6.0,1080.0,2408.0,111.63829787234043,128.0
Xiaomi,106990,78.25824800910125,Snapdragon,12.0,67.0,8.0,1914.0,2160.0,120.0,256.0
Vivo,10499,66.0,Helio,3.0,10.0,6.0,720.0,1600.0,111.63829787234043,64.0
OPPO,26990,86.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,111.63829787234043,256.0
Vivo,19990,82.0,Helio,8.0,44.0,6.0,1080.0,2400.0,111.63829787234043,128.0
Xiaomi,24999,89.0,Dimensity,8.0,120.0,6.0,1080.0,2400.0,120.0,256.0
OPPO,13969,69.0,Helio,4.0,33.0,6.0,720.0,1612.0,111.63829787234043,64.0
Samsung,44999,83.0,Snapdragon,8.0,67.0,6.0,1080.0,2412.0,120.0,128.0
Vivo,24999,84.0,Snapdragon,8.0,66.0,6.0,1080.0,2404.0,90.0,128.0
Google,53100,86.0,Google,8.0,30.0,6.0,1080.0,2400.0,90.0,128.0
Xiaomi,16999,81.0,Dimensity,6.0,33.0,6.0,1080.0,2400.0,90.0,128.0
OPPO,21899,82.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,90.0,128.0
Apple,75999,82.0,Bionic,6.0,46.329588014981276,6.0,1170.0,2532.0,111.63829787234043,256.0
Motorola,25999,85.0,Dimensity,8.0,30.0,6.0,1080.0,2400.0,120.0,256.0
Nubia,46990,84.0,Snapdragon,8.0,80.0,6.0,1116.0,2480.0,120.0,128.0
Motorola,9999,75.0,Helio,4.0,20.0,6.0,1080.0,2400.0,111.63829787234043,64.0
Tecno,49999,89.0,Dimensity,12.0,45.0,6.0,1080.0,2400.0,120.0,256.0
Infinix,17999,87.0,Helio,8.0,45.0,6.0,1080.0,2400.0,90.0,128.0
iQOO,16940,80.0,Snapdragon,6.0,18.0,6.0,1080.0,2408.0,120.0,128.0
Xiaomi,17990,81.0,Snapdragon,6.0,67.0,6.0,1080.0,2400.0,120.0,64.0
OPPO,20990,84.0,Snapdragon,8.0,67.0,6.0,1080.0,2412.0,120.0,128.0
Samsung,51999,79.0,Exynos,8.0,33.0,6.0,1080.0,2400.0,120.0,128.0
Samsung,64449,87.0,Snapdragon,8.0,45.0,6.0,1080.0,2340.0,120.0,128.0
Vivo,8990,71.0,Snapdragon,6.0,18.0,6.0,1080.0,2408.0,90.0,64.0
Motorola,19999,77.0,Helio,4.0,30.0,6.0,720.0,1600.0,90.0,128.0
Poco,13499,79.0,Dimensity,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
Tecno,15499,78.0,Dimensity,8.0,18.0,6.0,1080.0,2460.0,120.0,128.0
POCO,6499,65.0,Helio,3.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,32.0
Apple,71999,60.0,Apple,4.0,46.329588014981276,6.0,828.0,1792.0,111.63829787234043,64.0
Samsung,36499,89.0,Exynos,8.0,25.0,6.0,1080.0,2400.0,120.0,256.0
Infinix,15999,78.0,Dimensity,6.0,33.0,6.0,1080.0,2400.0,111.63829787234043,64.0
OPPO,31994,87.0,Dimensity,12.0,65.0,6.0,1080.0,2400.0,90.0,256.0
OnePlus,34999,84.0,Snapdragon,8.0,100.0,6.0,1080.0,2412.0,120.0,128.0
Redmi,18999,81.0,Snapdragon,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
Nothing,39990,88.0,Snapdragon,8.0,66.0,6.0,1080.0,2400.0,120.0,128.0
Samsung,16499,82.0,Helio,8.0,15.0,6.0,1080.0,2400.0,90.0,128.0
Nokia,6199,78.25824800910125,Snapdragon,512.0,46.329588014981276,2.0,240.0,320.0,111.63829787234043,4.0
Google,54300,89.0,Google,12.0,30.0,6.0,1440.0,3120.0,120.0,128.0
Infinix,9999,73.0,Helio,4.0,33.0,6.0,1080.0,2400.0,111.63829787234043,64.0
Xiaomi,15990,77.0,Dimensity,6.0,18.0,6.0,1080.0,2408.0,90.0,128.0
Xiaomi,22700,86.0,Snapdragon,8.0,67.0,6.0,1080.0,2400.0,120.0,128.0
Xiaomi,50990,89.0,Snapdragon,8.0,120.0,6.0,1440.0,3200.0,120.0,256.0
Apple,64900,79.0,Bionic,4.0,46.329588014981276,5.0,1080.0,2340.0,111.63829787234043,128.0
Tecno,13799,77.0,Helio,6.0,33.0,6.0,1080.0,2460.0,90.0,128.0
