,company,price,rating,processor,ram,battery,screen_size,width,height,frequency,rom
775,Vivo,15990,81.0,Snapdragon,8.0,18.0,6.0,1080.0,2408.0,90.0,128.0
776,Xiaomi,24990,83.0,Dimensity,8.0,67.0,6.0,2400.0,1080.0,120.0,128.0
777,Oppo,79990,,Snapdragon,8.0,80.0,6.0,1440.0,3216.0,120.0,256.0
778,Tecno,6249,61.0,Octa,2.0,,6.0,720.0,1600.0,,32.0
779,Vivo,12499,69.0,Snapdragon,3.0,18.0,6.0,720.0,1600.0,,64.0
780,Xiaomi,6499,61.0,Helio,2.0,,6.0,720.0,1600.0,,32.0
781,Apple,179900,86.0,Bionic,6.0,,6.0,1284.0,2778.0,120.0,1.0
782,Vivo,11990,68.0,Snapdragon,3.0,,6.0,720.0,1600.0,,64.0
783,Vivo,26990,82.0,Helio,8.0,44.0,6.0,1080.0,2400.0,,128.0
784,Samsung,13499,76.0,Helio,6.0,,6.0,720.0,1600.0,90.0,128.0
785,Xiaomi,75999,,Snapdragon,12.0,67.0,6.0,1440.0,3200.0,120.0,256.0
786,Micromax,5999,60.0,Tiger,3.0,,6.0,720.0,1600.0,,32.0
787,Samsung,8499,67.0,Helio,3.0,15.0,6.0,720.0,1600.0,,32.0
788,OPPO,11990,71.0,Helio,4.0,,6.0,1600.0,720.0,,128.0
789,Xiaomi,10990,77.0,Dimensity,4.0,18.0,6.0,1080.0,2340.0,90.0,128.0
790,Xiaomi,109990,,Snapdragon,12.0,67.0,8.0,1860.0,2480.0,90.0,256.0
791,Realme,16999,80.0,Dimensity,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
792,OPPO,12199,70.0,Helio,4.0,,6.0,1600.0,720.0,,64.0
793,Oppo,11490,72.0,Helio,4.0,,6.0,720.0,1600.0,,128.0
794,itel,5490,,Quad,1.0,,,720.0,1600.0,,16.0
795,Xiaomi,11499,74.0,Snapdragon,4.0,18.0,6.0,1080.0,2340.0,,64.0
796,Samsung,59450,88.0,Exynos,8.0,25.0,6.0,1080.0,2400.0,120.0,128.0
797,POCO,12799,76.0,Snapdragon,4.0,33.0,6.0,1080.0,2400.0,,64.0
798,Samsung,83000,88.0,Exynos,8.0,25.0,6.0,1440.0,3200.0,120.0,128.0
799,Realme,14490,80.0,Snapdragon,6.0,30.0,6.0,1080.0,2400.0,90.0,64.0
800,Huawei,82990,,Kirin,8.0,40.0,6.0,1200.0,2640.0,90.0,256.0
801,Vivo,9490,64.0,Snapdragon,3.0,,6.0,720.0,1544.0,,32.0
802,Vivo,25000,78.0,Snapdragon,8.0,,6.0,1080.0,2316.0,,128.0
803,Vivo,15000,65.0,Snapdragon,4.0,,6.0,1520.0,720.0,,64.0
804,Vivo,20990,70.0,Helio,4.0,,6.0,1080.0,2280.0,,128.0
805,Samsung,34999,78.0,Exynos,6.0,,6.0,1440.0,2960.0,,128.0
806,Realme,29999,80.0,Snapdragon,8.0,120.0,6.0,1080.0,2400.0,144.0,128.0
807,Vivo,11999,67.0,Dimensity,4.0,15.0,6.0,720.0,1600.0,,128.0
808,Samsung,12999,72.0,Helio,4.0,,6.0,720.0,1600.0,,128.0
809,Leitz,124990,89.0,Snapdragon,12.0,,6.0,1260.0,2730.0,240.0,256.0
810,Xiaomi,28999,85.0,Dimensity,8.0,120.0,6.0,1080.0,2460.0,120.0,128.0
811,Infinix,12999,77.0,Helio,8.0,18.0,6.0,1080.0,2460.0,,128.0
812,Realme,28499,82.0,Snapdragon,8.0,80.0,6.0,1080.0,2400.0,120.0,256.0
813,Apple,104999,83.0,Bionic,6.0,,6.0,1284.0,2778.0,,512.0
814,Apple,172999,77.0,Bionic,6.0,,6.0,1179.0,2556.0,120.0,1.0
815,Xiaomi,17990,79.0,Snapdragon,6.0,18.0,6.0,1080.0,2408.0,120.0,128.0
816,Xiaomi,13774,76.0,Helio,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
817,itel,2239,,No,117.0,128.0,,,,,
818,Nokia,8999,64.0,Unisoc,4.0,,6.0,720.0,1600.0,,64.0
819,OnePlus,18990,75.0,Dimensity,4.0,33.0,6.0,720.0,1612.0,90.0,64.0
820,Tecno,14999,77.0,Helio,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
821,Realme,7999,61.0,Tiger,3.0,10.0,6.0,720.0,1600.0,,32.0
822,Xiaomi,39999,85.0,Snapdragon,8.0,120.0,6.0,1220.0,2712.0,144.0,128.0
823,OPPO,11990,67.0,Helio,3.0,33.0,6.0,720.0,1612.0,,64.0
824,Infinix,12999,77.0,Helio,6.0,33.0,6.0,2400.0,1080.0,,128.0
825,Samsung,54999,77.0,Octa,8.0,,6.0,1080.0,2400.0,,128.0
826,Samsung,24990,72.0,Octa,6.0,,6.0,1080.0,2400.0,,128.0
827,Vivo,59999,88.0,Dimensity,12.0,80.0,6.0,1080.0,2400.0,120.0,256.0
828,Poco,19999,72.0,Snapdragon,6.0,,6.0,1080.0,2400.0,120.0,128.0
829,Infinix,16999,79.0,Helio,8.0,33.0,6.0,1080.0,2400.0,,128.0
830,Samsung,14999,60.0,Exynos,4.0,,6.0,720.0,1600.0,,64.0
831,Vivo,29990,76.0,Snapdragon,8.0,67.0,6.0,1080.0,2408.0,90.0,128.0
832,Xiaomi,13990,69.0,Dimensity,4.0,18.0,6.0,1080.0,2408.0,90.0,128.0
833,Xiaomi,17999,81.0,Helio,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
834,Realme,11399,73.0,Tiger,4.0,18.0,6.0,1080.0,2408.0,,64.0
835,Eunity,599,,1.77,32.0,,1.0,260.0,240.0,,32.0
836,Vivo,19990,79.0,Dimensity,8.0,18.0,6.0,1080.0,2408.0,,128.0
837,Vivo,15499,74.0,Snapdragon,4.0,18.0,6.0,1600.0,720.0,90.0,128.0
838,Gionee,6999,,Tiger,3.0,,6.0,720.0,1600.0,,32.0
839,Xiaomi,12499,77.0,Snapdragon,4.0,18.0,6.0,1080.0,2400.0,,128.0
840,Apple,91999,80.0,Bionic,4.0,,6.0,1170.0,2532.0,,512.0
841,Infinix,9690,71.0,Helio,4.0,,6.0,1080.0,2480.0,90.0,64.0
842,Realme,32990,85.0,Snapdragon,8.0,65.0,6.0,1080.0,2400.0,120.0,128.0
843,Xiaomi,42990,87.0,Snapdragon,8.0,67.0,6.0,1080.0,2400.0,120.0,128.0
844,CAT,14999,,Qualcomm,2.0,,,480.0,640.0,,16.0
845,Xiaomi,18699,82.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,90.0,128.0
846,DIZO,1749,,"SC6531E,",32.0,,2.0,240.0,320.0,,32.0
847,Realme,10990,76.0,Dimensity,4.0,18.0,6.0,1080.0,2400.0,,128.0
848,Xiaomi,30990,85.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,120.0,128.0
849,Lenovo,59999,89.0,Snapdragon,16.0,120.0,6.0,1080.0,2400.0,144.0,512.0
850,Samsung,23999,83.0,Exynos,6.0,,6.0,1080.0,2400.0,,128.0
851,Realme,9999,69.0,Dimensity,4.0,18.0,6.0,720.0,1600.0,,128.0
852,Nokia,3099,,Unisoc,64.0,,2.0,240.0,320.0,,128.0
853,Apple,119900,80.0,Bionic,6.0,1.0,,,,,256.0
854,Xiaomi,9299,67.0,Helio,4.0,10.0,6.0,720.0,1600.0,,128.0
855,Realme,12989,77.0,Helio,6.0,30.0,6.0,1080.0,2400.0,90.0,64.0
856,Samsung,4999,,(28,1.0,,5.0,720.0,1480.0,,16.0
857,LG,11999,,1,1470.0,8.0,,,,,
858,Oppo,29990,83.0,Snapdragon,8.0,65.0,6.0,1080.0,2400.0,,128.0
859,Oppo,12490,72.0,Helio,6.0,,6.0,720.0,1600.0,,128.0
860,Sony,27999,75.0,Snapdragon,4.0,18.0,,1080.0,2520.0,90.0,128.0
861,Vivo,8199,,Helio,2.0,,6.0,720.0,1520.0,,32.0
862,Huawei,21990,81.0,Kirin,8.0,40.0,6.0,1080.0,2340.0,,128.0
863,Vivo,20000,73.0,Helio,4.0,18.0,6.0,1080.0,2340.0,,128.0
864,Vivo,11990,74.0,Snapdragon,6.0,18.0,6.0,1080.0,2340.0,,64.0
865,Xiaomi,11989,75.0,Helio,4.0,22.0,6.0,1080.0,2340.0,,64.0
866,Xiaomi,11490,66.0,Snapdragon,4.0,18.0,6.0,720.0,1520.0,,64.0
867,Motorola,11490,68.0,Helio,4.0,10.0,6.0,720.0,1520.0,,64.0
868,Google,15999,67.0,Qualcomm,4.0,18.0,,1080.0,2160.0,,64.0
869,Samsung,17990,69.0,Samsung,4.0,15.0,5.0,1080.0,2340.0,,64.0
870,Samsung,78990,86.0,Exynos,8.0,25.0,6.0,1440.0,3040.0,,256.0
871,Huawei,10949,66.0,Kirin,4.0,,5.0,1080.0,2280.0,,64.0
872,Xiaomi,10300,65.0,Qualcomm,4.0,,5.0,1080.0,1920.0,,64.0
873,BlackZone,1899,,Single,48.0,,1.0,480.0,640.0,,48.0
874,Doogee,45999,88.0,Dimensity,12.0,33.0,6.0,1080.0,2408.0,120.0,256.0
875,Huawei,21990,63.0,Octa,4.0,22.0,6.0,720.0,1600.0,,64.0
876,iQOO,19990,76.0,Snapdragon,8.0,45.0,6.0,1080.0,2412.0,120.0,128.0
877,Vivo,32990,84.0,Snapdragon,8.0,80.0,6.0,1080.0,2400.0,120.0,256.0
878,Poco,14499,77.0,Helio,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
879,Nokia,41990,85.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,90.0,128.0
880,Tecno,13990,67.0,Helio,6.0,,6.0,720.0,1600.0,90.0,128.0
881,Nokia,1599,,No,4.0,,1.0,120.0,160.0,,4.0
882,Nokia,4799,,No,107.0,128.0,,,,,
883,Vivo,10490,67.0,Helio,3.0,,6.0,720.0,1600.0,,64.0
884,Huawei,29990,82.0,Snapdragon,8.0,66.0,6.0,1080.0,2400.0,120.0,128.0
885,Huawei,22990,82.0,Snapdragon,8.0,40.0,6.0,1080.0,2388.0,90.0,128.0
886,Samsung,47990,80.0,Dimensity,8.0,,6.0,1080.0,2400.0,,128.0
887,Infinix,19999,84.0,Helio,8.0,120.0,6.0,1080.0,2400.0,120.0,128.0
888,OnePlus,29999,83.0,Snapdragon,8.0,80.0,6.0,1080.0,2412.0,120.0,128.0
889,Realme,11879,74.0,Tiger,4.0,18.0,6.0,1080.0,2408.0,,128.0
890,OnePlus,28990,84.0,Dimensity,8.0,150.0,6.0,1080.0,2412.0,120.0,128.0
891,iQOO,39990,85.0,Snapdragon,12.0,120.0,6.0,1080.0,2376.0,120.0,256.0
892,Xiaomi,15999,78.0,Dimensity,6.0,33.0,6.0,1080.0,2400.0,90.0,64.0
893,Oppo,22990,82.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,,256.0
894,Royole,149999,87.0,Snapdragon,8.0,,7.0,1440.0,1920.0,,128.0
895,Tecno,11499,75.0,Helio,4.0,18.0,6.0,1080.0,2460.0,90.0,128.0
896,Tecno,22999,84.0,Helio,8.0,44.0,6.0,1080.0,2400.0,120.0,256.0
897,Tecno,7999,70.0,Helio,4.0,,6.0,720.0,1600.0,,64.0
898,Realme,31999,82.0,Snapdragon,8.0,65.0,6.0,2400.0,1080.0,120.0,128.0
899,Sony,30990,78.0,Snapdragon,6.0,30.0,,1080.0,2520.0,,64.0
900,Realme,7999,64.0,Helio,3.0,,6.0,720.0,1600.0,,32.0
901,Tecno,10999,74.0,Helio,4.0,18.0,6.0,1080.0,2460.0,,64.0
902,Poco,14990,79.0,Dimensity,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
903,Motorola,14499,77.0,Snapdragon,4.0,20.0,6.0,1080.0,2460.0,120.0,64.0
904,OnePlus,44999,86.0,Snapdragon,8.0,65.0,6.0,1080.0,2400.0,120.0,128.0
905,Realme,17999,83.0,Helio,8.0,30.0,6.0,1080.0,2400.0,,128.0
906,Realme,19999,83.0,Dimensity,8.0,30.0,6.0,1080.0,2400.0,120.0,128.0
907,Itel,3999,,Spreadtrum,1.0,,,854.0,480.0,,8.0
908,Samsung,101999,,Exynos,12.0,25.0,6.0,1440.0,3200.0,120.0,128.0
909,Oppo,38700,84.0,Dimensity,8.0,65.0,6.0,1080.0,2400.0,90.0,128.0
910,OnePlus,19999,73.0,Snapdragon,4.0,65.0,6.0,1080.0,2400.0,,64.0
911,Samsung,10999,72.0,Exynos,4.0,15.0,6.0,720.0,1600.0,90.0,64.0
912,OnePlus,16990,68.0,Snapdragon,4.0,18.0,6.0,720.0,1600.0,90.0,64.0
913,Apple,55999,75.0,Bionic,4.0,4.0,,,,,256.0
914,Apple,67999,76.0,Bionic,4.0,1.0,,,,,256.0
915,OPPO,9999,66.0,Helio,3.0,,6.0,720.0,1600.0,,32.0
916,Xiaomi,14439,77.0,Snapdragon,4.0,18.0,6.0,1080.0,2400.0,,128.0
917,Nokia,2499,,No,4.0,,2.0,240.0,320.0,,
918,Oppo,9990,64.0,Helio,3.0,,6.0,1520.0,720.0,,32.0
919,Realme,24999,85.0,Snapdragon,8.0,65.0,6.0,1080.0,2400.0,90.0,128.0
920,Samsung,85990,,Exynos,8.0,25.0,6.0,1440.0,3200.0,,128.0
921,Xiaomi,480000,88.0,Snapdragon,8.0,27.0,6.0,1080.0,2340.0,,256.0
922,Xiaomi,16999,78.0,Helio,6.0,18.0,6.0,1080.0,2340.0,,64.0
923,Realme,8999,,Helio,2.0,,6.0,720.0,1520.0,,16.0
924,OPPO,15990,62.0,Helio,3.0,,,1080.0,2160.0,,32.0
925,Nokia,3999,,256,1200.0,4.0,,,,,
926,Lyf,3890,,Snapdragon,3.0,,,1080.0,1920.0,,32.0
927,Samsung,1685,,No,800.0,5.0,,,,,
928,Apple,84990,75.0,Bionic,8.0,,6.0,1284.0,2778.0,120.0,128.0
929,Vivo,21999,78.0,Dimensity,4.0,18.0,6.0,1080.0,2408.0,,128.0
930,iKall,2099,,48,1800.0,4.0,,,,,
931,Lava,8999,66.0,Helio,4.0,,6.0,720.0,1600.0,,64.0
932,Eunity,649,,1.77,16.0,,1.0,280.0,240.0,,16.0
933,Tecno,20999,79.0,Dimensity,6.0,33.0,6.0,1080.0,2460.0,120.0,128.0
934,OPPO,32990,84.0,Dimensity,8.0,80.0,6.0,1080.0,2400.0,90.0,128.0
935,Motorola,9022,70.0,Helio,4.0,10.0,6.0,720.0,1600.0,90.0,64.0
936,Xiaomi,8399,61.0,Helio,3.0,10.0,6.0,720.0,1600.0,,32.0
937,Infinix,9999,64.0,Helio,3.0,,6.0,720.0,1612.0,,64.0
938,Tecno,8390,63.0,Helio,3.0,,6.0,720.0,1600.0,90.0,64.0
939,ZTE,19999,82.0,Snapdragon,6.0,55.0,6.0,1080.0,2460.0,120.0,128.0
940,Honor,13999,71.0,Helio,4.0,10.0,6.0,720.0,1600.0,,64.0
941,Xiaomi,29999,85.0,Snapdragon,8.0,67.0,6.0,1080.0,2400.0,120.0,128.0
942,TCL,8990,60.0,Helio,3.0,10.0,,720.0,1440.0,,32.0
943,Samsung,163980,,Snapdragon,12.0,25.0,7.0,1812.0,2176.0,120.0,1.0
944,Nothing,24990,80.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,120.0,128.0
